"phase","seed","preset","view","median_ms","p95_ms","draws","primitives"
"baseline","1944","Auto (Low)","forest","8.39","12.49","958","4758148"
"baseline","1944","Auto (Low)","fortification","7.94","12.62","914","4971252"
"baseline","1944","Auto (Low)","interior","7.67","12.88","684","3752662"
"baseline","1944","Auto (Low)","extraction","5.58","10.37","215","1459492"
"baseline","1944","High","forest","27.14","32.69","1170","5898740"
"baseline","1944","High","fortification","20.60","27.15","1157","6269112"
"baseline","1944","High","interior","22.10","27.22","809","4145914"
"baseline","1944","High","extraction","18.42","22.03","287","1657650"
"final","1944","Auto (Low)","forest","7.50","9.43","1232","4540854"
"final","1944","Auto (Low)","fortification","6.96","11.98","1189","4885208"
"final","1944","Auto (Low)","interior","6.19","11.69","902","3464526"
"final","1944","Auto (Low)","extraction","4.09","8.61","351","968532"
"final","1944","High","forest","23.21","28.72","1563","5930236"
"final","1944","High","fortification","20.25","27.25","1469","6407934"
"final","1944","High","interior","20.84","27.60","1040","3963882"
"final","1944","High","extraction","16.05","21.84","436","1262306"
"final","1","Auto (Low)","forest","7.68","12.56","1243","4579572"
"final","1","Auto (Low)","fortification","7.06","12.21","1234","4914456"
"final","1","Auto (Low)","interior","6.30","10.73","946","3528412"
"final","1","Auto (Low)","extraction","4.16","7.69","361","974656"
"final","1","High","forest","25.59","31.62","1573","5997984"
"final","1","High","fortification","21.21","25.74","1515","6441786"
"final","1","High","interior","19.58","26.05","1083","4022156"
"final","1","High","extraction","15.93","21.25","449","1277710"
"final","73","Auto (Low)","forest","7.76","9.94","1236","4532966"
"final","73","Auto (Low)","fortification","7.38","12.40","1238","4898372"
"final","73","Auto (Low)","interior","8.15","19.79","912","3453970"
"final","73","Auto (Low)","extraction","4.19","9.95","363","964186"
"final","73","High","forest","24.77","29.93","1576","5938100"
"final","73","High","fortification","21.94","27.43","1515","6413784"
"final","73","High","interior","19.67","25.36","1052","3950664"
"final","73","High","extraction","17.56","24.14","451","1261580"
